Thu Dec 10 14:16:36 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk50_kinf
Run: pp,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=3) 2015-12-17 09:00:42.547189
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0040,-0.8770,-0.5967,-1.1183,-0.9912,-0.4074,-0.2803,0.5797,-1.1165,-0.9875,-1.6963,-1.5672,-0.9853,-0.8563,-2.0106,-2.1396,-1.2740,0.7109,0.5913,0.0184,0.1590,0.1606
6.5833,8.1100,8.0000,6.3700,4.8700,5.0000,-0.9991,-0.8720,-0.6307,-1.1345,-1.0074,-0.3683,-0.2412,0.6006,-0.9451,-0.8161,-1.5458,-1.4167,-0.7793,-0.6503,-1.9935,-2.1226,-1.3400,0.7664,0.6160,0.0061,0.1589,0.1606
6.6667,8.1100,8.0000,6.3700,4.8700,5.0000,-0.9982,-0.8711,-0.6668,-1.1514,-1.0244,-0.3312,-0.2042,0.6181,-0.7785,-0.6494,-1.3966,-1.2675,-0.5759,-0.4469,-1.9772,-2.1063,-1.4040,0.8207,0.6405,-0.0054,0.1587,0.1606
6.7500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0007,-0.8736,-0.7050,-1.1697,-1.0427,-0.2956,-0.1686,0.6331,-0.6153,-0.4862,-1.2484,-1.1194,-0.3743,-0.2453,-1.9615,-2.0906,-1.4666,0.8741,0.6649,-0.0162,0.1586,0.1606
6.8333,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0070,-0.8799,-0.7452,-1.1889,-1.0619,-0.2619,-0.1349,0.6448,-0.4568,-0.3277,-1.1016,-0.9727,-0.1754,-0.0464,-1.9465,-2.0756,-1.5271,0.9262,0.6892,-0.0263,0.1585,0.1606
6.9167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0182,-0.8911,-0.7874,-1.2083,-1.0812,-0.2309,-0.1040,0.6521,-0.3047,-0.1756,-0.9568,-0.8278,0.0195,0.1486,-1.9323,-2.0614,-1.5847,0.9763,0.7132,-0.0357,0.1583,0.1606
7.0000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0345,-0.9074,-0.8317,-1.2276,-1.1005,-0.2028,-0.0758,0.6555,-0.1583,-0.0293,-0.8138,-0.6848,0.2109,0.3400,-1.9190,-2.0481,-1.6399,1.0247,0.7371,-0.0442,0.1582,0.1606
7.0833,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0570,-0.9299,-0.8779,-1.2468,-1.1197,-0.1790,-0.0520,0.6525,-0.0221,0.1069,-0.6745,-0.5455,0.3940,0.5232,-1.9067,-2.0358,-1.6900,1.0686,0.7604,-0.0521,0.1581,0.1606
7.1667,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0869,-0.9598,-0.9261,-1.2660,-1.1389,-0.1607,-0.0337,0.6409,0.1004,0.2295,-0.5404,-0.4115,0.5653,0.6944,-1.8955,-2.0245,-1.7330,1.1058,0.7827,-0.0596,0.1580,0.1606
7.2500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1238,-0.9967,-0.9762,-1.2850,-1.1580,-0.1475,-0.0205,0.6218,0.2109,0.3400,-0.4108,-0.2818,0.7266,0.8557,-1.8855,-2.0145,-1.7701,1.1375,0.8044,-0.0662,0.1579,0.1606
