Thu Dec 10 14:37:50 CLST 2015
MAPPINGS V HII Region Grid: QZ sph_GCZO_Pk50_kinf
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=3) 2015-12-17 09:24:10.518025
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0042,-0.8771,-0.5957,-1.1180,-0.9909,-0.4085,-0.2814,0.5793,-1.1187,-0.9897,-1.6980,-1.5689,-0.9885,-0.8595,-2.0107,-2.1397,-1.2719,0.7095,0.5908,0.0189,0.1590,0.1606
6.5833,8.1100,8.0000,6.3700,4.8700,5.0000,-0.9992,-0.8722,-0.6294,-1.1343,-1.0072,-0.3697,-0.2427,0.6001,-0.9480,-0.8189,-1.5480,-1.4189,-0.7834,-0.6544,-1.9937,-2.1227,-1.3374,0.7646,0.6153,0.0067,0.1589,0.1606
6.6667,8.1100,8.0000,6.3700,4.8700,5.0000,-0.9983,-0.8713,-0.6649,-1.1512,-1.0241,-0.3332,-0.2062,0.6174,-0.7823,-0.6532,-1.3997,-1.2706,-0.5816,-0.4526,-1.9774,-2.1064,-1.4005,0.8180,0.6396,-0.0047,0.1587,0.1606
6.7500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0007,-0.8737,-0.7024,-1.1689,-1.0418,-0.2983,-0.1713,0.6322,-0.6204,-0.4913,-1.2526,-1.1235,-0.3820,-0.2530,-1.9617,-2.0908,-1.4618,0.8705,0.6637,-0.0153,0.1586,0.1606
6.8333,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0066,-0.8796,-0.7414,-1.1874,-1.0603,-0.2654,-0.1384,0.6439,-0.4636,-0.3345,-1.1074,-0.9783,-0.1859,-0.0569,-1.9467,-2.0759,-1.5207,0.9214,0.6875,-0.0252,0.1585,0.1606
6.9167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0171,-0.8902,-0.7819,-1.2063,-1.0792,-0.2355,-0.1084,0.6512,-0.3135,-0.1845,-0.9647,-0.8356,0.0053,0.1343,-1.9327,-2.0618,-1.5761,0.9700,0.7110,-0.0343,0.1584,0.1606
7.0000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0332,-0.9062,-0.8245,-1.2251,-1.0980,-0.2087,-0.0816,0.6543,-0.1697,-0.0407,-0.8241,-0.6950,0.1923,0.3214,-1.9195,-2.0486,-1.6286,1.0164,0.7342,-0.0426,0.1583,0.1606
7.0833,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0543,-0.9272,-0.8686,-1.2434,-1.1163,-0.1863,-0.0592,0.6520,-0.0366,0.0923,-0.6886,-0.5595,0.3693,0.4984,-1.9074,-2.0365,-1.6755,1.0580,0.7566,-0.0501,0.1582,0.1606
7.1667,8.1100,8.0000,6.3700,4.8700,5.0000,-1.0808,-0.9537,-0.9129,-1.2612,-1.1341,-0.1694,-0.0423,0.6423,0.0818,0.2107,-0.5601,-0.4311,0.5321,0.6611,-1.8965,-2.0255,-1.7144,1.0924,0.7777,-0.0571,0.1581,0.1606
7.2500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1151,-0.9880,-0.9571,-1.2785,-1.1514,-0.1580,-0.0310,0.6241,0.1874,0.3164,-0.4367,-0.3077,0.6838,0.8128,-1.8867,-2.0157,-1.7463,1.1205,0.7980,-0.0632,0.1580,0.1606
7.3333,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1541,-1.0271,-1.0010,-1.2936,-1.1665,-0.1503,-0.0233,0.5997,0.2810,0.4100,-0.3202,-0.1912,0.8231,0.9521,-1.8779,-2.0068,-1.7718,1.1432,0.8169,-0.0688,0.1579,0.1606
7.4167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.1933,-1.0663,-1.0448,-1.3053,-1.1782,-0.1453,-0.0183,0.5720,0.3611,0.4902,-0.2130,-0.0840,0.9471,1.0761,-1.8697,-1.9987,-1.7901,1.1601,0.8340,-0.0741,0.1578,0.1606
7.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.2325,-1.1055,-1.0884,-1.3143,-1.1872,-0.1441,-0.0171,0.5408,0.4270,0.5561,-0.1137,0.0153,1.0564,1.1855,-1.8625,-1.9915,-1.7999,1.1702,0.8495,-0.0790,0.1578,0.1606
7.5833,8.1100,8.0000,6.3700,4.8700,5.0000,-1.2718,-1.1448,-1.1295,-1.3214,-1.1944,-0.1454,-0.0183,0.5065,0.4824,0.6115,-0.0227,0.1063,1.1535,1.2826,-1.8559,-1.9849,-1.8043,1.1760,0.8635,-0.0836,0.1578,0.1606
7.6667,8.1100,8.0000,6.3700,4.8700,5.0000,-1.3112,-1.1842,-1.1667,-1.3267,-1.1997,-0.1469,-0.0199,0.4710,0.5299,0.6589,0.0585,0.1875,1.2389,1.3680,-1.8498,-1.9788,-1.8060,1.1800,0.8759,-0.0881,0.1577,0.1606
7.7500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.3505,-1.2235,-1.2014,-1.3298,-1.2028,-0.1491,-0.0220,0.4370,0.5667,0.6957,0.1297,0.2587,1.3104,1.4395,-1.8444,-1.9734,-1.8030,1.1807,0.8864,-0.0926,0.1577,0.1606
7.8333,8.1100,8.0000,6.3700,4.8700,5.0000,-1.3858,-1.2588,-1.2329,-1.3316,-1.2045,-0.1518,-0.0247,0.4057,0.5961,0.7251,0.1922,0.3212,1.3714,1.5005,-1.8395,-1.9685,-1.7970,1.1794,0.8955,-0.0971,0.1577,0.1606
7.9167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.4148,-1.2877,-1.2598,-1.3329,-1.2059,-0.1546,-0.0275,0.3766,0.6216,0.7506,0.2462,0.3752,1.4243,1.5534,-1.8351,-1.9641,-1.7910,1.1780,0.9034,-0.1015,0.1576,0.1606
8.0000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.4396,-1.3125,-1.2825,-1.3334,-1.2063,-0.1571,-0.0300,0.3505,0.6406,0.7696,0.2901,0.4191,1.4663,1.5954,-1.8314,-1.9604,-1.7851,1.1763,0.9098,-0.1059,0.1576,0.1606
8.0833,8.1100,8.0000,6.3700,4.8700,5.0000,-1.4610,-1.3339,-1.3017,-1.3333,-1.2062,-0.1591,-0.0320,0.3285,0.6550,0.7840,0.3261,0.4551,1.5000,1.6290,-1.8282,-1.9572,-1.7792,1.1744,0.9150,-0.1102,0.1576,0.1606
8.1667,8.1100,8.0000,6.3700,4.8700,5.0000,-1.4787,-1.3516,-1.3178,-1.3331,-1.2060,-0.1608,-0.0337,0.3107,0.6675,0.7966,0.3567,0.4857,1.5289,1.6579,-1.8254,-1.9544,-1.7734,1.1725,0.9195,-0.1143,0.1576,0.1606
8.2500,8.1100,8.0000,6.3700,4.8700,5.0000,-1.4930,-1.3659,-1.3308,-1.3329,-1.2058,-0.1622,-0.0351,0.2961,0.6772,0.8063,0.3812,0.5102,1.5519,1.6809,-1.8231,-1.9521,-1.7676,1.1707,0.9232,-0.1183,0.1576,0.1606
8.3333,8.1100,8.0000,6.3700,4.8700,5.0000,-1.5047,-1.3776,-1.3414,-1.3326,-1.2055,-0.1633,-0.0362,0.2839,0.6847,0.8138,0.4008,0.5298,1.5701,1.6991,-1.8211,-1.9501,-1.7628,1.1693,0.9262,-0.1220,0.1576,0.1606
8.4167,8.1100,8.0000,6.3700,4.8700,5.0000,-1.5140,-1.3869,-1.3498,-1.3323,-1.2052,-0.1642,-0.0371,0.2743,0.6908,0.8199,0.4165,0.5455,1.5847,1.7137,-1.8195,-1.9485,-1.7593,1.1682,0.9286,-0.1253,0.1576,0.1606
8.5000,8.1100,8.0000,6.3700,4.8700,5.0000,-1.5203,-1.3932,-1.3556,-1.3320,-1.2049,-0.1647,-0.0376,0.2676,0.6948,0.8238,0.4272,0.5562,1.5945,1.7235,-1.8182,-1.9472,-1.7565,1.1673,0.9303,-0.1283,0.1576,0.1606
6.5000,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8191,-0.6921,-0.4673,-1.0351,-0.9080,-0.3525,-0.2254,0.6794,-1.0243,-0.8952,-1.7026,-1.5736,-1.0187,-0.8897,-2.0356,-2.1646,-1.2692,0.6841,0.6907,0.1465,0.1591,0.1606
6.5833,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8151,-0.6880,-0.5020,-1.0503,-0.9232,-0.3137,-0.1867,0.6981,-0.8557,-0.7267,-1.5529,-1.4239,-0.8149,-0.6858,-2.0213,-2.1504,-1.3330,0.7382,0.7130,0.1335,0.1589,0.1606
6.6667,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8152,-0.6881,-0.5386,-1.0660,-0.9389,-0.2771,-0.1500,0.7132,-0.6926,-0.5635,-1.4049,-1.2759,-0.6143,-0.4853,-2.0080,-2.1371,-1.3942,0.7907,0.7349,0.1211,0.1588,0.1606
6.7500,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8187,-0.6916,-0.5775,-1.0823,-0.9552,-0.2419,-0.1149,0.7256,-0.5334,-0.4044,-1.2582,-1.1292,-0.4161,-0.2871,-1.9955,-2.1246,-1.4537,0.8422,0.7563,0.1093,0.1587,0.1606
6.8333,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8258,-0.6988,-0.6180,-1.0993,-0.9722,-0.2087,-0.0816,0.7346,-0.3796,-0.2506,-1.1135,-0.9845,-0.2213,-0.0923,-1.9837,-2.1128,-1.5106,0.8922,0.7772,0.0980,0.1586,0.1606
6.9167,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8377,-0.7106,-0.6603,-1.1167,-0.9895,-0.1782,-0.0511,0.7391,-0.2329,-0.1039,-0.9713,-0.8422,-0.0315,0.0975,-1.9731,-2.1021,-1.5641,0.9398,0.7975,0.0872,0.1585,0.1606
7.0000,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8552,-0.7281,-0.7052,-1.1339,-1.0068,-0.1507,-0.0236,0.7391,-0.0927,0.0363,-0.8313,-0.7021,0.1541,0.2832,-1.9637,-2.0928,-1.6146,0.9853,0.8172,0.0771,0.1584,0.1606
7.0833,8.2350,8.1250,6.5478,5.0478,5.0000,-0.8779,-0.7508,-0.7520,-1.1506,-1.0235,-0.1275,-0.0004,0.7335,0.0367,0.1656,-0.6963,-0.5672,0.3298,0.4589,-1.9557,-2.0847,-1.6595,1.0261,0.8358,0.0674,0.1583,0.1606
7.1667,8.2350,8.1250,6.5478,5.0478,5.0000,-0.9062,-0.7791,-0.7990,-1.1670,-1.0399,-0.1099,0.0172,0.7207,0.1513,0.2803,-0.5685,-0.4394,0.4913,0.6203,-1.9490,-2.0779,-1.6967,1.0599,0.8531,0.0581,0.1583,0.1606
7.2500,8.2350,8.1250,6.5478,5.0478,5.0000,-0.9426,-0.8155,-0.8458,-1.1829,-1.0558,-0.0976,0.0295,0.6992,0.2529,0.3819,-0.4458,-0.3168,0.6417,0.7707,-1.9437,-2.0727,-1.7268,1.0875,0.8691,0.0493,0.1582,0.1606
7.3333,8.2350,8.1250,6.5478,5.0478,5.0000,-0.9839,-0.8568,-0.8926,-1.1968,-1.0697,-0.0890,0.0380,0.6714,0.3423,0.4714,-0.3301,-0.2011,0.7798,0.9088,-1.9394,-2.0684,-1.7505,1.1098,0.8838,0.0410,0.1581,0.1606
7.4167,8.2350,8.1250,6.5478,5.0478,5.0000,-1.0254,-0.8983,-0.9394,-1.2076,-1.0805,-0.0833,0.0438,0.6406,0.4188,0.5479,-0.2236,-0.0947,0.9027,1.0317,-1.9354,-2.0645,-1.7673,1.1263,0.8969,0.0329,0.1581,0.1606
7.5000,8.2350,8.1250,6.5478,5.0478,5.0000,-1.0670,-0.9400,-0.9860,-1.2161,-1.0890,-0.0815,0.0455,0.6067,0.4810,0.6101,-0.1251,0.0039,1.0111,1.1402,-1.9321,-2.0612,-1.7758,1.1363,0.9085,0.0254,0.1580,0.1606
7.5833,8.2350,8.1250,6.5478,5.0478,5.0000,-1.1089,-0.9818,-1.0301,-1.2229,-1.0959,-0.0823,0.0448,0.5699,0.5331,0.6622,-0.0348,0.0943,1.1075,1.2366,-1.9291,-2.0581,-1.7791,1.1421,0.9189,0.0183,0.1580,0.1606
7.6667,8.2350,8.1250,6.5478,5.0478,5.0000,-1.1509,-1.0238,-1.0700,-1.2282,-1.1011,-0.0835,0.0436,0.5320,0.5778,0.7068,0.0459,0.1750,1.1924,1.3215,-1.9262,-2.0552,-1.7798,1.1461,0.9280,0.0114,0.1580,0.1606
7.7500,8.2350,8.1250,6.5478,5.0478,5.0000,-1.1927,-1.0656,-1.1072,-1.2315,-1.1044,-0.0856,0.0416,0.4955,0.6122,0.7411,0.1169,0.2459,1.2638,1.3929,-1.9234,-2.0524,-1.7762,1.1469,0.9357,0.0049,0.1580,0.1606
7.8333,8.2350,8.1250,6.5478,5.0478,5.0000,-1.2304,-1.1033,-1.1411,-1.2336,-1.1065,-0.0884,0.0387,0.4619,0.6394,0.7684,0.1793,0.3084,1.3248,1.4540,-1.9208,-2.0498,-1.7698,1.1458,0.9424,-0.0013,0.1580,0.1606
7.9167,8.2350,8.1250,6.5478,5.0478,5.0000,-1.2618,-1.1348,-1.1703,-1.2352,-1.1081,-0.0914,0.0357,0.4310,0.6631,0.7921,0.2334,0.3624,1.3779,1.5071,-1.9184,-2.0474,-1.7633,1.1445,0.9482,-0.0073,0.1579,0.1606
8.0000,8.2350,8.1250,6.5478,5.0478,5.0000,-1.2890,-1.1619,-1.1950,-1.2360,-1.1089,-0.0940,0.0330,0.4031,0.6807,0.8097,0.2776,0.4066,1.4203,1.5494,-1.9161,-2.0451,-1.7570,1.1430,0.9529,-0.0131,0.1579,0.1606
8.0833,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3124,-1.1853,-1.2159,-1.2363,-1.1092,-0.0962,0.0308,0.3796,0.6939,0.8229,0.3140,0.4429,1.4544,1.5834,-1.9141,-2.0431,-1.7508,1.1412,0.9568,-0.0185,0.1579,0.1606
8.1667,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3318,-1.2047,-1.2334,-1.2365,-1.1094,-0.0982,0.0288,0.3605,0.7055,0.8345,0.3449,0.4739,1.4837,1.6127,-1.9123,-2.0413,-1.7446,1.1394,0.9601,-0.0236,0.1579,0.1606
8.2500,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3476,-1.2205,-1.2477,-1.2366,-1.1095,-0.0999,0.0271,0.3448,0.7145,0.8435,0.3697,0.4987,1.5070,1.6360,-1.9107,-2.0397,-1.7387,1.1378,0.9629,-0.0284,0.1579,0.1605
8.3333,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3606,-1.2335,-1.2593,-1.2365,-1.1094,-0.1012,0.0258,0.3317,0.7214,0.8504,0.3897,0.5187,1.5256,1.6545,-1.9094,-2.0383,-1.7337,1.1365,0.9651,-0.0328,0.1579,0.1605
8.4167,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3708,-1.2437,-1.2686,-1.2364,-1.1093,-0.1023,0.0248,0.3213,0.7270,0.8561,0.4058,0.5348,1.5404,1.6694,-1.9082,-2.0372,-1.7300,1.1354,0.9670,-0.0367,0.1579,0.1606
8.5000,8.2350,8.1250,6.5478,5.0478,5.0000,-1.3779,-1.2508,-1.2750,-1.2363,-1.1092,-0.1030,0.0241,0.3140,0.7307,0.8598,0.4168,0.5458,1.5505,1.6795,-1.9072,-2.0362,-1.7270,1.1346,0.9684,-0.0403,0.1579,0.1606
6.5000,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6506,-0.5235,-0.3521,-0.9344,-0.8073,-0.2999,-0.1728,0.7459,-0.9811,-0.8520,-1.7248,-1.5959,-1.0879,-0.9587,-2.0873,-2.2163,-1.2675,0.6375,0.7566,0.2600,0.1593,0.1605
6.5833,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6475,-0.5204,-0.3872,-0.9483,-0.8212,-0.2615,-0.1344,0.7624,-0.8152,-0.6862,-1.5757,-1.4468,-0.8861,-0.7570,-2.0761,-2.2051,-1.3295,0.6900,0.7765,0.2465,0.1592,0.1606
6.6667,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6485,-0.5213,-0.4245,-0.9625,-0.8354,-0.2251,-0.0980,0.7752,-0.6548,-0.5258,-1.4283,-1.2993,-0.6876,-0.5586,-2.0658,-2.1948,-1.3890,0.7409,0.7957,0.2332,0.1590,0.1606
6.7500,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6528,-0.5257,-0.4643,-0.9772,-0.8501,-0.1899,-0.0628,0.7851,-0.4985,-0.3695,-1.2821,-1.1532,-0.4912,-0.3622,-2.0564,-2.1854,-1.4468,0.7910,0.8143,0.2204,0.1589,0.1606
6.8333,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6608,-0.5337,-0.5060,-0.9924,-0.8653,-0.1563,-0.0292,0.7917,-0.3476,-0.2186,-1.1379,-1.0089,-0.2982,-0.1692,-2.0478,-2.1768,-1.5021,0.8397,0.8321,0.2079,0.1588,0.1606
6.9167,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6735,-0.5464,-0.5496,-1.0080,-0.8809,-0.1253,0.0018,0.7936,-0.2038,-0.0748,-0.9962,-0.8671,-0.1099,0.0191,-2.0404,-2.1695,-1.5541,0.8862,0.8491,0.1957,0.1587,0.1606
7.0000,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6917,-0.5646,-0.5963,-1.0234,-0.8963,-0.0969,0.0302,0.7910,-0.0667,0.0623,-0.8565,-0.7274,0.0743,0.2034,-2.0347,-2.1637,-1.6032,0.9308,0.8652,0.1837,0.1586,0.1606
7.0833,8.3600,8.2500,6.7422,5.2422,5.0000,-0.7152,-0.5881,-0.6452,-1.0385,-0.9114,-0.0726,0.0545,0.7828,0.0597,0.1887,-0.7220,-0.5928,0.2489,0.3780,-2.0305,-2.1595,-1.6471,0.9709,0.8801,0.1721,0.1586,0.1605
7.1667,8.3600,8.2500,6.7422,5.2422,5.0000,-0.7445,-0.6174,-0.6944,-1.0532,-0.9261,-0.0537,0.0734,0.7675,0.1715,0.3005,-0.5946,-0.4655,0.4097,0.5387,-2.0280,-2.1569,-1.6834,1.0044,0.8934,0.1607,0.1585,0.1605
7.2500,8.3600,8.2500,6.7422,5.2422,5.0000,-0.7819,-0.6548,-0.7437,-1.0675,-0.9404,-0.0399,0.0872,0.7436,0.2702,0.3992,-0.4723,-0.3433,0.5596,0.6886,-2.0274,-2.1563,-1.7129,1.0320,0.9053,0.1495,0.1585,0.1605
