Sat 4 Jul 2015 12:21:49 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk45
Run: sph,two,LPk=4.5,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8475, -1.7204, -1.0624, -1.3629, -1.2358, -0.7851, -0.6580, -0.0141, -1.6699, -1.5409, -1.6558, -1.5268, -1.0780, -0.9489, -1.9537, -2.0828, -1.2602,  0.5778, -0.0014, -0.4449,  0.1598,  0.1620
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8438, -1.7167, -1.1649, -1.4210, -1.2939, -0.6788, -0.5518,  0.0469, -1.1648, -1.0358, -1.2117, -1.0827, -0.4696, -0.3405, -1.8933, -2.0223, -1.4519,  0.7421,  0.0814, -0.4761,  0.1594,  0.1619
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8761, -1.7490, -1.2766, -1.4853, -1.3582, -0.5995, -0.4724,  0.0779, -0.7110, -0.5820, -0.7889, -0.6599,  0.0969,  0.2260, -1.8356, -1.9647, -1.6160,  0.8858,  0.1638, -0.4973,  0.1589,  0.1618
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9508, -1.8237, -1.3885, -1.5429, -1.4158, -0.5623, -0.4352,  0.0598, -0.3569, -0.2278, -0.4167, -0.2876,  0.5640,  0.6930, -1.7832, -1.9122, -1.7245,  0.9806,  0.2404, -0.5084,  0.1586,  0.1618
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.0431, -1.9161, -1.4857, -1.5766, -1.4496, -0.5575, -0.4304,  0.0001, -0.1246,  0.0044, -0.1247,  0.0044,  0.8945,  1.0235, -1.7379, -1.8670, -1.7675,  1.0191,  0.3033, -0.5124,  0.1583,  0.1617
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.1186, -1.9915, -1.5552, -1.5880, -1.4609, -0.5634, -0.4363, -0.0649,  0.0076,  0.1366,  0.0725,  0.2015,  1.0971,  1.2261, -1.7015, -1.8306, -1.7692,  1.0246,  0.3485, -0.5138,  0.1582,  0.1617
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1636, -2.0365, -1.5955, -1.5894, -1.4623, -0.5681, -0.4410, -0.1092,  0.0767,  0.2057,  0.1859,  0.3149,  1.2072,  1.3362, -1.6749, -1.8040, -1.7596,  1.0213,  0.3773, -0.5157,  0.1581,  0.1617
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.1854, -2.0583, -1.6151, -1.5886, -1.4616, -0.5702, -0.4432, -0.1322,  0.1112,  0.2402,  0.2433,  0.3724,  1.2617,  1.3908, -1.6573, -1.7864, -1.7522,  1.0184,  0.3938, -0.5182,  0.1581,  0.1617
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1948, -2.0678, -1.6238, -1.5880, -1.4609, -0.5711, -0.4440, -0.1425,  0.1279,  0.2569,  0.2704,  0.3994,  1.2873,  1.4163, -1.6467, -1.7758, -1.7482,  1.0169,  0.4026, -0.5206,  0.1581,  0.1617
c
   6.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0838, -0.9567, -0.5048, -1.1404, -1.0133, -0.5790, -0.4519,  0.5209, -1.3660, -1.2370, -1.8869, -1.7579, -1.3255, -1.1965, -2.0202, -2.1493, -1.3289,  0.5614,  0.5284,  0.1037,  0.1602,  0.1620
   6.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.0741, -0.9470, -0.6058, -1.1905, -1.0635, -0.4683, -0.3412,  0.5794, -0.8626, -0.7336, -1.4420, -1.3129, -0.7197, -0.5907, -1.9706, -2.0996, -1.5255,  0.7223,  0.6000,  0.0733,  0.1598,  0.1619
   7.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0949, -0.9678, -0.7206, -1.2483, -1.1212, -0.3743, -0.2472,  0.6147, -0.3992, -0.2702, -1.0139, -0.8849, -0.1400, -0.0109, -1.9273, -2.0564, -1.7024,  0.8740,  0.6679,  0.0496,  0.1594,  0.1619
   7.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.1582, -1.0311, -0.8416, -1.3072, -1.1801, -0.3166, -0.1895,  0.6087, -0.0206,  0.1085, -0.6293, -0.5002,  0.3613,  0.4904, -1.8937, -2.0227, -1.8342,  0.9906,  0.7280,  0.0327,  0.1591,  0.1619
   7.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.2490, -1.1220, -0.9538, -1.3489, -1.2219, -0.2952, -0.1681,  0.5582,  0.2395,  0.3686, -0.3187, -0.1897,  0.7350,  0.8641, -1.8705, -1.9996, -1.9012,  1.0537,  0.7747,  0.0211,  0.1590,  0.1619
