Sat 4 Jul 2015 10:44:19 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk50
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
Resampled with pyqz 0.7.0 (sampling=2) 2015-08-17 17:27:23.995958
Original LogQ:[ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12:[ 7.459  8.061  8.362  8.76   9.061  9.237]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),[NII]/Ha(5),[NII]+/Ha(6),[SII]+/Ha(7),[NII]/[OII]+(8),[NII]+/[OII]+(9),[NII]/[SII]+(10),[NII]+/[SII]+(11),[OII]+/Hb(12),[OIII]/Hb(13),[OIII]+/Hb(14),[OIII]/[OII]+(15),[OIII]+/[OII]+(16),[OIII]/[SII]+(17),[OIII]+/[SII]+(18),4363/[OIII](19),4363/[OIII]+(20),[OI]/[OII]+(21),[OII]+/[SII]+(22),R23(23),S23(24),6716/6731(25),3729/3726(26)
6.5000,7.4590,7.3490,6.2190,4.7190,-1.8497,-1.7226,-1.0635,-1.3655,-1.2384,-0.7862,-0.6591,-0.0141,-1.6681,-1.5391,-1.6540,-1.5250,-1.0748,-0.9457,-1.9536,-2.0826,-1.2618,0.5792,-0.0014,-0.4458,0.1588,0.1607
6.5833,7.4590,7.3490,6.2190,4.7190,-1.8445,-1.7174,-1.0967,-1.3841,-1.2571,-0.7477,-0.6207,0.0094,-1.4942,-1.3652,-1.5036,-1.3745,-0.8673,-0.7382,-1.9331,-2.0622,-1.3289,0.6363,0.0264,-0.4574,0.1586,0.1607
6.6667,7.4590,7.3490,6.2190,4.7190,-1.8434,-1.7163,-1.1312,-1.4036,-1.2766,-0.7120,-0.5850,0.0296,-1.3255,-1.1964,-1.3550,-1.2259,-0.6635,-0.5344,-1.9129,-2.0420,-1.3933,0.6915,0.0542,-0.4679,0.1584,0.1607
6.7500,7.4590,7.3490,6.2190,4.7190,-1.8460,-1.7189,-1.1674,-1.4240,-1.2970,-0.6786,-0.5516,0.0473,-1.1605,-1.0314,-1.2078,-1.0787,-0.4624,-0.3333,-1.8930,-2.0221,-1.4559,0.7454,0.0821,-0.4773,0.1583,0.1607
6.8333,7.4590,7.3490,6.2190,4.7190,-1.8521,-1.7250,-1.2051,-1.4456,-1.3186,-0.6477,-0.5206,0.0620,-1.0006,-0.8715,-1.0626,-0.9335,-0.2652,-0.1361,-1.8734,-2.0024,-1.5159,0.7974,0.1101,-0.4856,0.1582,0.1607
6.9167,7.4590,7.3490,6.2190,4.7190,-1.8628,-1.7357,-1.2436,-1.4679,-1.3408,-0.6202,-0.4932,0.0725,-0.8476,-0.7185,-0.9200,-0.7909,-0.0734,0.0556,-1.8541,-1.9831,-1.5723,0.8466,0.1382,-0.4929,0.1580,0.1607
7.0000,7.4590,7.3490,6.2190,4.7190,-1.8795,-1.7524,-1.2827,-1.4899,-1.3628,-0.5968,-0.4697,0.0787,-0.7009,-0.5719,-0.7796,-0.6506,0.1135,0.2425,-1.8351,-1.9641,-1.6254,0.8931,0.1663,-0.4989,0.1579,0.1607
7.0833,7.4590,7.3490,6.2190,4.7190,-1.9017,-1.7746,-1.3226,-1.5111,-1.3840,-0.5780,-0.4509,0.0796,-0.5652,-0.4362,-0.6446,-0.5156,0.2896,0.4186,-1.8167,-1.9456,-1.6727,0.9343,0.1937,-0.5039,0.1578,0.1607
7.1667,7.4590,7.3490,6.2190,4.7190,-1.9283,-1.8012,-1.3630,-1.5315,-1.4044,-0.5645,-0.4374,0.0733,-0.4444,-0.3154,-0.5172,-0.3881,0.4505,0.5794,-1.7989,-1.9279,-1.7117,0.9678,0.2204,-0.5079,0.1576,0.1607
7.2500,7.4590,7.3490,6.2190,4.7190,-1.9599,-1.8328,-1.4031,-1.5511,-1.4240,-0.5568,-0.4297,0.0584,-0.3366,-0.2075,-0.3950,-0.2659,0.5993,0.7283,-1.7817,-1.9107,-1.7431,0.9943,0.2465,-0.5106,0.1575,0.1607
