Sat 4 Jul 2015 12:30:12 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk80
Run: sph,two,LPk=8.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   6.5000,  7.4590,  7.3490,  6.2190,  4.7190, -1.8696, -1.7426, -1.2967, -1.1786, -1.0516, -0.5730, -0.4459, -0.2234, -1.6558, -1.5268, -1.4324, -1.3034, -0.8267, -0.6977, -1.9446, -2.0737, -1.0524,  0.6057, -0.2023, -0.5896, -0.2012, -0.2711
   6.7500,  7.4590,  7.3490,  6.2190,  4.7190, -1.8658, -1.7387, -1.4064, -1.2411, -1.1140, -0.4594, -0.3324, -0.1578, -1.1450, -1.0159, -0.9872, -0.8581, -0.2055, -0.0765, -1.8841, -2.0131, -1.2529,  0.7817, -0.1014, -0.5933, -0.2048, -0.2668
   7.0000,  7.4590,  7.3490,  6.2190,  4.7190, -1.9007, -1.7736, -1.5283, -1.3134, -1.1863, -0.3724, -0.2453, -0.1213, -0.6781, -0.5491, -0.5569, -0.4278,  0.3841,  0.5132, -1.8260, -1.9550, -1.4341,  0.9410,  0.0165, -0.5857, -0.2065, -0.2610
   7.2500,  7.4590,  7.3490,  6.2190,  4.7190, -1.9899, -1.8629, -1.6616, -1.3845, -1.2575, -0.3283, -0.2013, -0.1404, -0.2993, -0.1703, -0.1589, -0.0299,  0.8973,  1.0263, -1.7719, -1.9009, -1.5701,  1.0562,  0.1459, -0.5712, -0.2065, -0.2547
   7.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.1269, -1.9999, -1.8043, -1.4372, -1.3101, -0.3226, -0.1956, -0.2261, -0.0284,  0.1007,  0.1978,  0.3268,  1.3123,  1.4413, -1.7217, -1.8507, -1.6466,  1.1145,  0.2683, -0.5551, -0.2056, -0.2490
   7.7500,  7.4590,  7.3490,  6.2190,  4.7190, -2.2925, -2.1654, -1.9540, -1.4671, -1.3401, -0.3385, -0.2114, -0.3632,  0.1538,  0.2828,  0.5170,  0.6460,  1.6456,  1.7747, -1.6740, -1.8030, -1.6718,  1.1286,  0.3713, -0.5434, -0.2042, -0.2440
   8.0000,  7.4590,  7.3490,  6.2190,  4.7190, -2.4669, -2.3399, -2.1070, -1.4802, -1.3531, -0.3599, -0.2329, -0.5263,  0.2779,  0.4069,  0.8042,  0.9332,  1.9244,  2.0535, -1.6282, -1.7573, -1.6641,  1.1203,  0.4548, -0.5430, -0.2029, -0.2401
   8.2500,  7.4590,  7.3490,  6.2190,  4.7190, -2.6315, -2.5045, -2.2557, -1.4827, -1.3556, -0.3759, -0.2488, -0.6902,  0.3658,  0.4949,  1.0560,  1.1851,  2.1628,  2.2918, -1.5859, -1.7149, -1.6396,  1.1068,  0.5224, -0.5593, -0.2027, -0.2379
   8.5000,  7.4590,  7.3490,  6.2190,  4.7190, -2.7680, -2.6410, -2.3860, -1.4790, -1.3520, -0.3821, -0.2550, -0.8320,  0.4287,  0.5577,  1.2606,  1.3896,  2.3576,  2.4866, -1.5496, -1.6787, -1.6090,  1.0970,  0.5750, -0.5918, -0.2042, -0.2379
c
   6.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.0972, -0.9702, -0.7455, -0.9573, -0.8302, -0.3518, -0.2247,  0.3219, -1.3345, -1.2055, -1.6564, -1.5274, -1.0509, -0.9219, -1.9945, -2.1235, -1.1181,  0.6055,  0.3346, -0.0415, -0.2153, -0.2782
   6.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.0864, -0.9593, -0.8525, -1.0119, -0.8849, -0.2339, -0.1068,  0.3861, -0.8233, -0.6943, -1.2094, -1.0804, -0.4314, -0.3023, -1.9430, -2.0720, -1.3246,  0.7781,  0.4208, -0.0411, -0.2179, -0.2749
   7.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.1079, -0.9808, -0.9759, -1.0773, -0.9502, -0.1319, -0.0049,  0.4285, -0.3450, -0.2160, -0.7735, -0.6445,  0.1719,  0.3009, -1.8973, -2.0264, -1.5195,  0.9454,  0.5172, -0.0322, -0.2189, -0.2707
   7.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.1813, -1.0543, -1.1167, -1.1488, -1.0218, -0.0647,  0.0624,  0.4247,  0.0596,  0.1886, -0.3652, -0.2361,  0.7190,  0.8480, -1.8609, -1.9899, -1.6809,  1.0841,  0.6235, -0.0200, -0.2189, -0.2667
   7.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.3088, -1.1818, -1.2729, -1.2093, -1.0822, -0.0359,  0.0912,  0.3558,  0.3577,  0.4867,  0.0019,  0.1309,  1.1753,  1.3043, -1.8344, -1.9634, -1.7873,  1.1734,  0.7272, -0.0095, -0.2183, -0.2636
   7.7500,  8.0610,  7.9510,  6.8210,  5.3210, -1.4748, -1.3477, -1.4408, -1.2480, -1.1210, -0.0341,  0.0930,  0.2268,  0.5528,  0.6819,  0.3261,  0.4551,  1.5401,  1.6691, -1.8142, -1.9433, -1.8357,  1.2140,  0.8124, -0.0046, -0.2180, -0.2617
   8.0000,  8.0610,  7.9510,  6.8210,  5.3210, -1.6591, -1.5320, -1.6135, -1.2674, -1.1403, -0.0456,  0.0815,  0.0603,  0.6733,  0.8024,  0.6130,  0.7421,  1.8349,  1.9639, -1.7969, -1.9260, -1.8384,  1.2218,  0.8747, -0.0081, -0.2182, -0.2608
   8.2500,  8.0610,  7.9510,  6.8210,  5.3210, -1.8407, -1.7136, -1.7818, -1.2730, -1.1459, -0.0589,  0.0682, -0.1170,  0.7466,  0.8756,  0.8636,  0.9926,  2.0777,  2.2068, -1.7814, -1.9104, -1.8113,  1.2141,  0.9177, -0.0233, -0.2197, -0.2616
   8.5000,  8.0610,  7.9510,  6.8210,  5.3210, -1.9986, -1.8715, -1.9328, -1.2688, -1.1418, -0.0658,  0.0613, -0.2800,  0.7911,  0.9202,  1.0712,  1.2002,  2.2743,  2.4033, -1.7678, -1.8968, -1.7681,  1.2031,  0.9467, -0.0507, -0.2236, -0.2653
c
   6.5000,  8.3620,  8.2520,  7.1220,  5.6220, -0.6719, -0.5448, -0.5055, -0.7432, -0.6162, -0.1663, -0.0393,  0.5300, -1.2768, -1.1478, -1.8068, -1.6778, -1.2299, -1.1009, -2.0692, -2.1982, -1.1322,  0.5769,  0.5390,  0.1984, -0.2292, -0.2866
   6.7500,  8.3620,  8.2520,  7.1220,  5.6220, -0.6634, -0.5364, -0.6153, -0.7882, -0.6611, -0.0482,  0.0789,  0.5821, -0.7780, -0.6490, -1.3601, -1.2311, -0.6201, -0.4911, -2.0310, -2.1600, -1.3346,  0.7400,  0.6069,  0.1973, -0.2313, -0.2850
